backlogging_cost,half_width,item_id,lead_time,lower,mean,stddev,upper
1000.0,1.10946401051997,21920,0.0,340.7932098853455,341.90267389586546,5.660530665918214,343.0121379063854
1000.0,1.7215612113176804,21920,1.0,436.7659017439123,438.48746295523,8.783475567947349,440.2090241665477
10000.0,1.3207417727906132,21920,0.0,419.3659585780095,420.6867003508001,6.73847843260517,422.0074421235907
10000.0,1.7948212884480639,21920,1.0,536.865403290577,538.660224579025,9.157251471673796,540.455045867473
1000.0,1.0996051101216116,38197,0.0,390.0638140348239,391.1634191449455,5.610230153681692,392.26302425506714
1000.0,1.591923531957705,38197,1.0,504.18010986068936,505.7720333926471,8.122058836518903,507.3639569246048
10000.0,1.3640481131110636,38197,0.0,480.66047331111486,482.0245214242259,6.959429148525834,483.38856953733693
10000.0,2.0225955670335045,38197,1.0,614.9846455600845,617.0072411271179,10.319365137926043,619.0298366941514
1000.0,1.0318786290994528,82099,0.0,332.52490474200727,333.55678337110675,5.264686883160473,334.5886620002062
1000.0,1.8208012490942465,82099,1.0,426.2177349540853,428.03853620317955,9.289802291297176,429.8593374522738
10000.0,1.2345271736665073,82099,0.0,411.3539302599946,412.5884574336611,6.298608028910752,413.8229846073276
10000.0,1.7531244010257996,82099,1.0,522.0075257831311,523.7606501841569,8.94451225013163,525.5137745851828
